protein,breast_MDAMB231,colon_HCT116,ewingsarcoma_CHLA10,ewingsarcoma_TC32,melanoma_A375,melanoma_HS895T,melanoma_SH4,ovary_patientsample,prostate_PC3
Q8NG66,0,0,1,1,0,0,0,1,0
Q8TAQ2,0,1,0,1,0,0,0,1,0
Q8TAT6,0,1,0,1,0,0,0,1,0
Q8TCU4,1,0,1,0,0,0,0,1,0
Q8TEQ6,0,1,0,1,0,0,0,1,0
Q8TEX9,0,1,0,1,0,0,0,1,0
Q8TF72,0,0,1,1,0,0,0,1,0
Q8WU90,0,1,0,1,0,0,0,1,0
Q8WVJ2,1,0,0,1,0,0,0,1,0
Q8WVY7,0,1,0,0,1,0,0,1,0
Q8WX92,0,1,0,1,0,0,0,1,0
Q92522,0,0,1,1,0,0,0,1,0
Q92616,0,1,0,1,0,0,0,1,0
Q92696,1,1,0,0,0,0,0,1,0
Q92734,1,0,0,1,0,0,0,1,0
Q92769,0,1,0,1,0,0,0,1,0
Q92804,0,0,1,1,0,0,0,1,0
Q92900,0,1,0,1,0,0,0,1,0
Q92922,0,0,1,1,0,0,0,1,0
Q93008,0,1,0,0,1,0,0,1,0
Q93034,0,1,0,1,0,0,0,1,0
Q969E4,0,0,0,1,0,0,1,1,0
Q96CN7,1,1,0,0,0,0,0,1,0
Q96DI7,0,1,0,1,0,0,0,1,0
Q96GG9,0,1,0,1,0,0,0,1,0
Q96GX9,0,1,0,1,0,0,0,1,0
Q96JB1,0,0,1,1,0,0,0,1,0
Q96JM2,1,0,0,0,0,0,1,1,0
Q96JN0,0,0,1,1,0,0,0,1,0
Q96N67,0,0,1,1,0,0,0,1,0
Q96P11,0,1,1,0,0,0,0,1,0
Q96P70,0,1,0,1,0,0,0,1,0
Q96PE2,0,0,1,1,0,0,0,1,0
Q96QD9,0,0,1,1,0,0,0,1,0
Q96RS6,1,1,0,0,0,0,0,1,0
Q96RU2,0,0,1,0,1,0,0,1,0
Q99614,1,0,0,1,0,0,0,1,0
Q9BPX3,0,0,1,1,0,0,0,1,0
Q9BQG0,0,1,0,1,0,0,0,1,0
Q9BTE3,0,1,0,0,1,0,0,1,0
Q9BVJ6,1,0,0,1,0,0,0,1,0
Q9BW19,0,0,1,0,1,0,0,1,0
Q9BXP5,0,1,0,1,0,0,0,1,0
Q9C005,0,1,0,0,0,0,1,1,0
Q9C037,1,0,0,1,0,0,0,1,0
Q9C0A1,1,0,0,0,0,1,0,1,0
Q9C0B1,0,1,0,1,0,0,0,1,0
Q9GZR7,0,1,0,1,0,0,0,1,0
Q9H008,0,1,1,0,0,0,0,1,0
Q9H0C8,0,1,0,1,0,0,0,1,0
Q9H2H8,0,0,0,1,0,0,1,1,0
Q9H3U1,0,1,0,1,0,0,0,1,0
Q9H792,1,0,1,0,0,0,0,1,0
Q9H9L3,1,0,1,0,0,0,0,1,0
Q9HA64,0,0,0,1,1,0,0,1,0
Q9HAV4,0,1,0,1,0,0,0,1,0
Q9HCE0,0,0,1,1,0,0,0,1,0
Q9NPH2,0,1,0,1,0,0,0,1,0
Q9NQW6,0,1,1,0,0,0,0,1,0
Q9NR09,0,1,1,0,0,0,0,1,0
Q9NR12,0,0,0,1,0,1,0,1,0
Q9NR48,1,0,1,0,0,0,0,1,0
Q9NTZ6,0,1,0,1,0,0,0,1,0
Q9NU22,1,0,1,0,0,0,0,1,0
Q9NVA2,0,1,0,1,0,1,0,0,0
Q9NVH2,0,0,1,0,0,1,0,1,0
Q9NVS9,0,1,0,0,0,1,0,1,0
Q9NXV6,0,1,0,1,0,0,0,1,0
Q9NYF8,0,0,1,1,0,0,0,1,0
Q9P287,0,1,0,0,1,0,0,1,0
Q9P2E2,0,0,1,0,0,1,1,0,0
Q9P2N5,0,1,0,1,0,0,0,1,0
Q9P2T1,0,1,0,1,0,0,0,1,0
Q9UBQ5,0,0,1,1,0,0,0,1,0
Q9UBW8,0,1,0,1,0,0,0,1,0
Q9UHB9,0,1,0,1,0,0,0,1,0
Q9UI30,0,1,0,1,0,0,0,1,0
Q9UIG0,0,0,1,1,0,0,0,1,0
Q9UJC5,0,1,0,0,0,1,0,1,0
Q9UJV9,0,0,1,1,0,0,0,1,0
Q9UK45,0,0,0,1,0,0,1,1,0
Q9UKF6,0,1,1,0,0,0,0,1,0
Q9UKM9,0,1,0,1,0,0,0,1,0
Q9UKV3,0,0,1,1,0,0,0,1,0
Q9ULC4,1,1,0,0,0,0,0,1,0
Q9ULR0,1,0,1,0,0,1,0,0,0
Q9UNS2,0,1,0,1,0,0,0,1,0
Q9UPU5,0,1,1,0,0,0,0,1,0
Q9UQ35,0,0,1,1,0,0,0,1,0
Q9UQ88,0,0,1,1,0,0,0,1,0
